instagram,sse_idxmin,sse_min_facebook,sse_min,sse_idxmax,sse_max_facebook,sse_max,sse_mean,sse_std,ssmi_idxmin,ssmi_min_facebook,ssmi_min,ssmi_idxmax,ssmi_max_facebook,ssmi_max,ssmi_mean,ssmi_std
./instagram/instagram_images/038.jpg,76412, ./facebook_images/0919_135665053303678_552974104906102.jpg,1743.976115,76116, ./facebook_images/0601_219367258105115_1286875358020961.jpg,46016.099820,10120.228905,7908.617529,77422, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.037978,77422, ./facebook_images/1981_389658314427637_1535207366539387.jpg,0.595363,0.281358,0.100659
./instagram/instagram_images/039.jpg,78862, ./facebook_images/1365_62317591679_10153840889606680.jpg,1189.880084,78160, ./facebook_images/0601_219367258105115_1286875358020961.jpg,34568.035010,7279.660081,5585.884751,78862, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.015513,78862, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.601329,0.325092,0.095231
./instagram/instagram_images/040.jpg,80245, ./facebook_images/0642_219367258105115_1290110774364086.jpg,738.120671,80204, ./facebook_images/0601_219367258105115_1286875358020961.jpg,45244.301060,12043.319246,7319.305106,80245, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.044999,80245, ./facebook_images/0642_219367258105115_1290110774364086.jpg,0.840295,0.225193,0.078994
./instagram/instagram_images/041.jpg,83575, ./facebook_images/2005_389658314427637_1535469926513131.jpg,4640.316750,82448, ./facebook_images/0807_135665053303678_551844801685699.jpg,28074.945350,9812.356155,3629.371385,83451, ./facebook_images/1239_346937065399354_1248555121904206.jpg,0.030888,83451, ./facebook_images/1873_62317591679_10153863798951680.jpg,0.334646,0.216637,0.047411
./instagram/instagram_images/042.jpg,85656, ./facebook_images/2044_389658314427637_1536475899745867.jpg,3571.748263,84040, ./facebook_images/0341_219367258105115_1281494028559094.jpg,33592.315880,9056.717600,4932.039705,84994, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.013219,84994, ./facebook_images/1365_62317591679_10153840889606680.jpg,0.530321,0.297939,0.082907
./instagram/instagram_images/043.jpg,86354, ./facebook_images/0619_219367258105115_1289529341088896.jpg,6343.341866,86423, ./facebook_images/0688_219367258105115_1290743144300849.jpg,26834.048170,11922.636317,3134.425326,86354, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.020449,86354, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.453316,0.274524,0.071757
./instagram/instagram_images/044.jpg,88800, ./facebook_images/1060_440106476051475_1246879138707534.jpg,5057.528979,88467, ./facebook_images/0688_219367258105115_1290743144300849.jpg,21984.116480,11874.560192,3356.032534,88398, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.023414,88398, ./facebook_images/0619_219367258105115_1289529341088896.jpg,0.415608,0.234706,0.074178
./instagram/instagram_images/045.jpg,91524, ./facebook_images/1769_62317591679_10153861397561680.jpg,6467.223121,90424, ./facebook_images/0601_219367258105115_1286875358020961.jpg,43845.555290,13825.060368,6381.277023,90778, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.030762,90778, ./facebook_images/0986_135665053303678_554261528110693.jpg,0.551979,0.264555,0.082872
./instagram/instagram_images/046.jpg,93832, ./facebook_images/2044_389658314427637_1536475899745867.jpg,5678.244440,94000, ./facebook_images/2251_114517875225866_1470917416252565.jpg,30437.094740,11210.231027,3848.470551,93074, ./facebook_images/1180_346937065399354_1246603892099329.jpg,0.020033,93074, ./facebook_images/1266_346937065399354_1252535468172838.jpg,0.479586,0.291854,0.073165
./instagram/instagram_images/047.jpg,95149, ./facebook_images/1298_346937065399354_1253004251459293.jpg,10.385227,94512, ./facebook_images/0601_219367258105115_1286875358020961.jpg,52772.312980,14455.859968,8534.332385,95149, ./facebook_images/1222_346937065399354_1248598775233174.jpg,0.004561,95149, ./facebook_images/1298_346937065399354_1253004251459293.jpg,0.988480,0.062527,0.075367
